seed,r
3,-1
3,1
3,0
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,-0.5
3,0
3,-0.5
3,-2
3,3
3,-3
3,0
3,1
3,-1.5
3,0.5
3,0
3,-0.5
3,0.5
3,-0.5
3,0
3,0.5
3,-0.5
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,-0.5
3,0.5
3,-0.5
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,-0.5
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,-0.5
3,0
3,0
3,0
3,0
3,0.5
3,-0.5
3,0.5
3,-0.5
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0.5
3,0
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,-0.5
3,0.5
3,0
3,0
3,0
3,0
3,-0.5
3,0
3,0
3,0
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,-0.5
3,0.5
3,0
3,-0.5
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,-0.5
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,-0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0.5
3,-0.5
3,0
3,0.5
3,-0.5
3,0
3,0
3,0
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,-0.5
3,0.5
3,-0.5
3,0
3,0
3,0.5
3,-0.5
3,0.5
3,0
3,0
3,0
3,0
3,0
3,0
3,-0.5
3,0.5
3,-0.5
3,0
4,-1
4,-1
4,0
4,1
4,1
4,0
4,0.5
4,0
4,0
4,-0.5
4,-1
4,0
4,0.5
4,-0.5
4,0
4,0.5
4,-1.5
4,-1
4,0
4,0
4,0
4,1
4,-1.5
4,0
4,0.5
4,0
4,1
4,0
4,0.5
4,-0.5
4,0
4,0.5
4,-0.5
4,0.5
4,-0.5
4,0.5
4,-0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0.5
4,0
4,0
4,0
4,0.5
4,0.5
4,-1
4,-0.5
4,-2
4,-1.5
4,0.5
4,0
4,0
4,0
4,1
4,0.5
4,-1.5
4,1.5
4,0
4,0
4,0
4,-0.5
4,0.5
4,-0.5
4,0
4,0
4,0
4,0.5
4,-1
4,-0.5
4,0
4,0
4,1.5
4,0
4,0
4,-0.5
4,0.5
4,0
4,-0.5
4,1.5
4,-1
4,-0.5
4,0
4,0
4,1.5
4,0
4,0
4,0
4,-0.5
4,0
4,0.5
4,0
4,0
4,0
4,0
4,-1.5
4,1.5
4,0
4,0
4,0
4,0
4,0
4,-0.5
4,0
4,0
4,0.5
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,-0.5
4,0
4,0.5
4,-0.5
4,0
4,0.5
4,0
4,0
4,0
4,-0.5
4,0
4,0.5
4,0
4,-0.5
4,0.5
4,0
4,0
4,0
4,0
4,-0.5
4,0
4,0.5
4,-0.5
4,0
4,0
4,0.5
4,0
4,0
4,0
4,0
4,0
4,0
4,-0.5
4,0.5
4,0
4,0
4,0
4,0
4,-0.5
4,0
4,0.5
4,-0.5
4,0.5
4,0
4,0
4,0
4,0
4,0
4,-0.5
4,0
4,0.5
4,0
4,0
4,0
4,-0.5
4,0.5
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,-0.5
4,0
4,0
4,0.5
4,0
4,-0.5
4,0
4,0.5
4,-0.5
4,0
4,0
4,0.5
4,-0.5
4,0.5
4,-0.5
4,0.5
4,0
4,-0.5
4,0
4,0.5
4,0
4,-0.5
4,0.5
4,-0.5
4,0
4,0
4,0
4,0.5
4,0
4,0
4,-0.5
4,0
4,0
4,0.5
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,-0.5
4,0.5
4,0
4,0.5
4,0
4,0.5
4,0
4,-0.5
4,0
4,0
4,0
4,0.5
4,0
4,0
4,0
4,0
4,0
4,0
4,-0.5
4,0
4,0
4,0.5
4,-0.5
4,0
4,0
4,0.5
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,-0.5
4,0.5
4,0
4,0
4,0
4,-0.5
4,0
4,0.5
4,0
4,0
4,-0.5
4,0.5
4,-0.5
4,0.5
4,-0.5
4,0.5
4,0
4,0
4,0
4,0
5,-1
5,-2
5,-0.5
5,-1.5
5,0.5
5,0
5,-0.5
5,-0.5
5,0
5,0
5,0
5,1
5,0
5,0
5,0
5,0
5,0
5,0
5,-0.5
5,0
5,0.5
5,0
5,-0.5
5,0
5,0
5,0
5,0
5,0.5
5,0
5,-0.5
5,0
5,0
5,0
5,0
5,0.5
5,0
5,-0.5
5,0
5,0.5
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,1
5,0
5,-0.5
5,0.5
5,-0.5
5,0.5
5,-0.5
5,0.5
5,-0.5
5,0.5
5,0
5,0
5,-0.5
5,0
5,0.5
5,0
5,-0.5
5,0
5,0.5
5,0
5,0
5,0
5,0
5,-0.5
5,0.5
5,-0.5
5,0.5
5,0
5,0
5,-0.5
5,0
5,0
5,0
5,0
5,0
5,0.5
5,0
5,0
5,-0.5
5,0.5
5,0
5,-0.5
5,0
5,0
5,0.5
5,0
5,0
5,0
5,0
5,0
